producto_id,producto_externo_id,sku,nombre,tipo,created_at,updated_at,activo,descripcion,categoria,marca,unidad_medida,precio_base,costo_estandar
23,23,4HJ92,Zapatos Salón Tacón Medio Oficina,simple,2025-10-05 04:18:41,2025-10-05 04:19:19,True,Zapatos Salón Tacón Medio Oficina,Calzado,Zapatos,Pieza,0.0,0.0
24,24,4KL66,Botas Senderismo Trail Explorer,simple,2025-10-05 04:18:41,2025-10-05 04:19:18,True,Botas Senderismo Trail Explorer,Calzado,Botas,Pieza,0.0,0.0
25,25,4PJ19,Zapatos Mocasín Elegantes Sin Cordón,simple,2025-10-05 04:18:41,2025-10-05 04:19:19,True,Zapatos Mocasín Elegantes Sin Cordón,Calzado,Zapatos,Pieza,0.0,0.0
26,26,4QI22,Botas Fashion Urbanas Mujer,simple,2025-10-05 04:18:41,2025-10-05 04:19:18,True,Botas Fashion Urbanas Mujer,Calzado,Botas,Pieza,0.0,0.0
27,27,5BM69,Zapatillas Deportivas Running Pro,simple,2025-10-05 04:18:41,2025-10-05 04:19:19,True,Zapatillas Deportivas Running Pro,Calzado,Zapatillas,Pieza,0.0,0.0
28,28,5GE27,Sandalias Playa Flip-Flop Confort,simple,2025-10-05 04:18:41,2025-10-05 04:19:19,True,Sandalias Playa Flip-Flop Confort,Calzado,Sandalias,Pieza,0.0,0.0
29,29,5GF68,Calzado Fútbol Tacos Profesionales,simple,2025-10-05 04:18:41,2025-10-05 04:19:18,True,Calzado Fútbol Tacos Profesionales,Calzado,Calzado,Pieza,0.0,0.0
30,30,5GN30,Botas Montaña Hiking Adventure,simple,2025-10-05 04:18:41,2025-10-05 04:19:18,True,Botas Montaña Hiking Adventure,Calzado,Botas,Pieza,0.0,0.0
31,31,5IF41,Sandalias Tipo Huarache Tradicionales,simple,2025-10-05 04:18:41,2025-10-05 04:19:18,True,Sandalias Tipo Huarache Tradicionales,Calzado,Sandalias,Pieza,0.0,0.0
32,32,5TJ23,Zapatos Oxford Piel Ejecutivos,simple,2025-10-05 04:18:42,2025-10-05 04:19:19,True,Zapatos Oxford Piel Ejecutivos,Calzado,Zapatos,Pieza,0.0,0.0
33,33,5TU10,Sandalias Sport Outdoor Trekking,simple,2025-10-05 04:18:42,2025-10-05 04:19:18,True,Sandalias Sport Outdoor Trekking,Calzado,Sandalias,Pieza,0.0,0.0
34,34,5UB78,Zapatillas Skate Urban Style,simple,2025-10-05 04:18:42,2025-10-05 04:19:19,True,Zapatillas Skate Urban Style,Calzado,Zapatillas,Pieza,0.0,0.0
35,35,5XY10,Zapatos Tipo Brogue Premium Cuero,simple,2025-10-05 04:18:42,2025-10-05 04:19:19,True,Zapatos Tipo Brogue Premium Cuero,Calzado,Zapatos,Pieza,0.0,0.0
36,36,6BC45,Sandalias Playa Niños Coloridas,simple,2025-10-05 04:18:42,2025-10-05 04:19:18,True,Sandalias Playa Niños Coloridas,Calzado,Sandalias,Pieza,0.0,0.0
37,37,6GH85,Calzado Ciclismo Clips Performance,simple,2025-10-05 04:18:42,2025-10-05 04:19:19,True,Calzado Ciclismo Clips Performance,Calzado,Calzado,Pieza,0.0,0.0
38,38,6LJ54,Botas de Trabajo Industrial Reforzadas,simple,2025-10-05 04:18:42,2025-10-05 04:19:18,True,Botas de Trabajo Industrial Reforzadas,Calzado,Botas,Pieza,0.0,0.0
39,39,6PM40,Tacones Plataforma Fiesta Mujer,simple,2025-10-05 04:18:42,2025-10-05 04:19:19,True,Tacones Plataforma Fiesta Mujer,Calzado,Tacones,Pieza,0.0,0.0
40,40,6UB33,Calzado Volleyball Indoor Pro,simple,2025-10-05 04:18:42,2025-10-05 04:19:18,True,Calzado Volleyball Indoor Pro,Calzado,Calzado,Pieza,0.0,0.0
41,41,6UK81,Zapatillas Tenis Clásicas Blancas,simple,2025-10-05 04:18:43,2025-10-05 04:19:18,True,Zapatillas Tenis Clásicas Blancas,Calzado,Zapatillas,Pieza,0.0,0.0
42,42,6VC22,Sandalias Casual Verano Acolchadas,simple,2025-10-05 04:18:43,2025-10-05 04:19:19,True,Sandalias Casual Verano Acolchadas,Calzado,Sandalias,Pieza,0.0,0.0
43,43,7BS71,Zapatos Derby Clásicos Oficina,simple,2025-10-05 04:18:43,2025-10-05 04:19:19,True,Zapatos Derby Clásicos Oficina,Calzado,Zapatos,Pieza,0.0,0.0
44,44,7BS72,Zapatillas Training CrossFit Elite,simple,2025-10-05 04:18:43,2025-10-05 04:19:18,True,Zapatillas Training CrossFit Elite,Calzado,Zapatillas,Pieza,0.0,0.0
45,45,7NM98,Sandalias Slides Confort Unisex,simple,2025-10-05 04:18:43,2025-10-05 04:19:18,True,Sandalias Slides Confort Unisex,Calzado,Sandalias,Pieza,0.0,0.0
46,46,7NQ22,Zapatos Piel Charol Eventos Formales,simple,2025-10-05 04:18:43,2025-10-05 04:19:19,True,Zapatos Piel Charol Eventos Formales,Calzado,Zapatos,Pieza,0.0,0.0
47,47,7TY55,Zapatillas Walking Confort Plus,simple,2025-10-05 04:18:43,2025-10-05 04:19:19,True,Zapatillas Walking Confort Plus,Calzado,Zapatillas,Pieza,0.0,0.0
48,48,7YV41,Calzado Tenis Clay Court Especial,simple,2025-10-05 04:18:43,2025-10-05 04:19:18,True,Calzado Tenis Clay Court Especial,Calzado,Calzado,Pieza,0.0,0.0
49,49,8BC37,Zapatillas Basketball High Top,simple,2025-10-05 04:18:44,2025-10-05 04:19:18,True,Zapatillas Basketball High Top,Calzado,Zapatillas,Pieza,0.0,0.0
50,50,8DO33,Botas Chelsea Casual Premium,simple,2025-10-05 04:18:44,2025-10-05 04:19:19,True,Botas Chelsea Casual Premium,Calzado,Botas,Pieza,0.0,0.0
51,51,8LG34,Botas Militares Tácticas Combat,simple,2025-10-05 04:18:44,2025-10-05 04:19:19,True,Botas Militares Tácticas Combat,Calzado,Botas,Pieza,0.0,0.0
52,52,8NN54,Botas Vaqueras Western Clásicas,simple,2025-10-05 04:18:44,2025-10-05 04:19:18,True,Botas Vaqueras Western Clásicas,Calzado,Botas,Pieza,0.0,0.0
53,53,8TF72,Zapatos Penny Loafer Clásicos,simple,2025-10-05 04:18:44,2025-10-05 04:19:18,True,Zapatos Penny Loafer Clásicos,Calzado,Zapatos,Pieza,0.0,0.0
54,54,8UF78,Zapatillas Casual Urbanas Confort,simple,2025-10-05 04:18:44,2025-10-05 04:19:18,True,Zapatillas Casual Urbanas Confort,Calzado,Zapatillas,Pieza,0.0,0.0
55,55,8VS71,Zapatillas Lifestyle Urban Street,simple,2025-10-05 04:18:44,2025-10-05 04:19:19,True,Zapatillas Lifestyle Urban Street,Calzado,Zapatillas,Pieza,0.0,0.0
56,56,9GQ28,Zapatos Monk Strap Doble Hebilla,simple,2025-10-05 04:18:44,2025-10-05 04:19:19,True,Zapatos Monk Strap Doble Hebilla,Calzado,Zapatos,Pieza,0.0,0.0
57,57,9OK21,Sandalias Deportivas Acuáticas,simple,2025-10-05 04:18:45,2025-10-05 04:19:18,True,Sandalias Deportivas Acuáticas,Calzado,Sandalias,Pieza,0.0,0.0
58,58,9OL25,Botas Trabajo Punta Acero Seguridad,simple,2025-10-05 04:18:45,2025-10-05 04:19:19,True,Botas Trabajo Punta Acero Seguridad,Calzado,Botas,Pieza,0.0,0.0
59,59,XS56,Calzado Gym Training Multisport,simple,2025-10-05 04:18:45,2025-10-05 04:19:19,True,Calzado Gym Training Multisport,Calzado,Calzado,Pieza,0.0,0.0
60,60,WLCH1,Zapatillas Tenis Premium Leather,simple,2025-10-05 04:18:45,2025-10-05 04:19:19,True,Zapatillas Tenis Premium Leather,Calzado,Zapatillas,Pieza,0.0,0.0
61,61,TAG1,Botas Invierno Térmicas Impermeables,simple,2025-10-05 04:18:45,2025-10-05 04:19:19,True,Botas Invierno Térmicas Impermeables,Calzado,Botas,Pieza,0.0,0.0
62,62,TAG2,Botas Lluvia Impermeables Pro,simple,2025-10-05 04:18:45,2025-10-05 04:19:19,True,Botas Lluvia Impermeables Pro,Calzado,Botas,Pieza,0.0,0.0
63,63,TAG3,Calzado Natación Acuático Grip,simple,2025-10-05 04:18:45,2025-10-05 04:19:19,True,Calzado Natación Acuático Grip,Calzado,Calzado,Pieza,0.0,0.0
64,64,2EW02,Calzado Boxing Botín Competencia,kit,2025-10-05 04:19:23,2025-10-05 04:19:29,True,Calzado Boxing Botín Competencia,Calzado,Calzado,Pieza,0.0,0.0
