movimiento_id,fecha_id,producto_id,almacen_id,tipo_movimiento_id,proveedor_id,usuario_id,cantidad,costo_unitario,costo_total,stock_anterior,stock_resultante,documento,observaciones
53,20230828,40,1,1,7,1,1747.0,84.45,147534.15,0.0,1747.0,COMP-000053,Compra inicial de REEBOK CLUB C 85 VINTAGE
54,20230823,40,1,1,3,1,1840.0,84.45,155388.0,0.0,1840.0,COMP-000054,Compra inicial de REEBOK CLUB C 85 VINTAGE
55,20230831,40,1,1,7,1,949.0,84.45,80143.05,0.0,949.0,COMP-000055,Compra inicial de REEBOK CLUB C 85 VINTAGE
56,20231102,40,1,1,1,1,1.0,84.45,84.45,1747.0,1746.0,ORDEN-6198,Venta orden #6198
57,20231102,10,1,1,1,1,3.0,99.91,299.72,672.0,669.0,ORDEN-81698,Venta orden #81698
58,20231102,40,1,1,1,1,2.0,83.5,167.0,1746.0,1744.0,ORDEN-81698,Venta orden #81698
59,20230820,14,1,1,5,1,1725.0,83.48,144009.9,0.0,1725.0,COMP-000059,Compra inicial de CONVERSE ONE STAR PRO BLANCO
60,20231002,14,1,1,7,1,1815.0,83.48,151523.46,0.0,1815.0,COMP-000060,Compra inicial de CONVERSE ONE STAR PRO BLANCO
61,20230918,14,1,1,7,1,1581.0,83.48,131988.2,0.0,1581.0,COMP-000061,Compra inicial de CONVERSE ONE STAR PRO BLANCO
62,20231102,14,1,1,1,1,3.0,83.48,250.45,1581.0,1578.0,ORDEN-42626,Venta orden #42626
63,20230815,38,1,1,6,1,1574.0,72.26,113734.09,0.0,1574.0,COMP-000063,Compra inicial de NEW BALANCE FRESH FOAM X MORE
64,20230902,38,1,1,8,1,1234.0,72.26,89166.37,0.0,1234.0,COMP-000064,Compra inicial de NEW BALANCE FRESH FOAM X MORE
65,20230827,38,1,1,5,1,969.0,72.26,70018.0,0.0,969.0,COMP-000065,Compra inicial de NEW BALANCE FRESH FOAM X MORE
66,20231102,38,1,1,1,1,3.0,72.26,216.77,1234.0,1231.0,ORDEN-42626,Venta orden #42626
67,20230831,43,1,1,4,1,1988.0,72.52,144161.81,0.0,1988.0,COMP-000067,Compra inicial de VANS SK8-HI MTE WATERPROOF
68,20230913,43,1,1,6,1,722.0,72.52,52356.55,0.0,722.0,COMP-000068,Compra inicial de VANS SK8-HI MTE WATERPROOF
69,20230916,43,1,1,5,1,949.0,72.52,68817.68,0.0,949.0,COMP-000069,Compra inicial de VANS SK8-HI MTE WATERPROOF
70,20231102,43,1,1,1,1,5.0,72.52,362.58,722.0,717.0,ORDEN-42626,Venta orden #42626
71,20230929,16,1,1,2,1,941.0,114.07,107341.75,0.0,941.0,COMP-000071,Compra inicial de NIKE REACT ELEMENT 55 GRIS
72,20230928,16,1,1,7,1,1062.0,114.07,121144.46,0.0,1062.0,COMP-000072,Compra inicial de NIKE REACT ELEMENT 55 GRIS
73,20230821,16,1,1,7,1,670.0,114.07,76428.24,0.0,670.0,COMP-000073,Compra inicial de NIKE REACT ELEMENT 55 GRIS
74,20231102,16,1,1,1,1,4.0,114.07,456.29,941.0,937.0,ORDEN-55016,Venta orden #55016
75,20231102,38,1,1,1,1,2.0,107.83,215.66,1574.0,1572.0,ORDEN-55016,Venta orden #55016
76,20231102,59,1,1,1,1,1.0,78.28,78.28,519.0,518.0,ORDEN-55016,Venta orden #55016
77,20230818,3,1,1,5,1,755.0,88.91,67130.07,0.0,755.0,COMP-000077,Compra inicial de CONVERSE CHUCK TAYLOR ALL STAR NEGRO
78,20230930,3,1,1,7,1,727.0,88.91,64640.48,0.0,727.0,COMP-000078,Compra inicial de CONVERSE CHUCK TAYLOR ALL STAR NEGRO
79,20230809,3,1,1,7,1,1443.0,88.91,128302.9,0.0,1443.0,COMP-000079,Compra inicial de CONVERSE CHUCK TAYLOR ALL STAR NEGRO
80,20231102,3,1,1,1,1,2.0,88.91,177.83,755.0,753.0,ORDEN-29744,Venta orden #29744
81,20231102,30,1,1,1,1,2.0,97.54,195.07,1894.0,1892.0,ORDEN-29744,Venta orden #29744
82,20231102,34,1,1,1,1,3.0,67.42,202.27,882.0,879.0,ORDEN-29744,Venta orden #29744
83,20231102,40,1,1,1,1,5.0,114.74,573.72,949.0,944.0,ORDEN-29744,Venta orden #29744
84,20230918,7,1,1,5,1,1280.0,88.67,113495.04,0.0,1280.0,COMP-000084,Compra inicial de JORDAN 1 RETRO HIGH OG ROJO
85,20230805,7,1,1,8,1,770.0,88.67,68274.36,0.0,770.0,COMP-000085,Compra inicial de JORDAN 1 RETRO HIGH OG ROJO
86,20230824,7,1,1,2,1,1576.0,88.67,139740.77,0.0,1576.0,COMP-000086,Compra inicial de JORDAN 1 RETRO HIGH OG ROJO
87,20231102,7,1,1,1,1,1.0,88.67,88.67,1576.0,1575.0,ORDEN-58056,Venta orden #58056
88,20231102,22,1,1,1,1,3.0,115.37,346.12,1972.0,1969.0,ORDEN-58056,Venta orden #58056
89,20231102,56,1,1,1,1,4.0,117.75,471.0,1629.0,1625.0,ORDEN-58056,Venta orden #58056
90,20230914,62,1,1,2,1,1629.0,66.67,108598.91,0.0,1629.0,COMP-000090,Compra inicial de ADIDAS DAME 8 EXTPLY
91,20230817,62,1,1,3,1,793.0,66.67,52866.14,0.0,793.0,COMP-000091,Compra inicial de ADIDAS DAME 8 EXTPLY
92,20230906,62,1,1,7,1,656.0,66.67,43732.9,0.0,656.0,COMP-000092,Compra inicial de ADIDAS DAME 8 EXTPLY
93,20231102,62,1,1,1,1,2.0,66.67,133.33,1629.0,1627.0,ORDEN-58056,Venta orden #58056
94,20230923,21,1,1,4,1,535.0,89.03,47633.19,0.0,535.0,COMP-000094,Compra inicial de NIKE BLAZER MID '77 VINTAGE
95,20231002,21,1,1,6,1,1022.0,89.03,90992.75,0.0,1022.0,COMP-000095,Compra inicial de NIKE BLAZER MID '77 VINTAGE
96,20230805,21,1,1,7,1,1298.0,89.03,115566.13,0.0,1298.0,COMP-000096,Compra inicial de NIKE BLAZER MID '77 VINTAGE
97,20231102,21,1,1,1,1,4.0,89.03,356.14,1022.0,1018.0,ORDEN-178698,Venta orden #178698
98,20230812,39,1,1,1,1,1162.0,118.54,137745.8,0.0,1162.0,COMP-000098,Compra inicial de JORDAN 3 RETRO OG WHITE CEMENT
99,20230924,39,1,1,5,1,1993.0,118.54,236254.21,0.0,1993.0,COMP-000099,Compra inicial de JORDAN 3 RETRO OG WHITE CEMENT
100,20230811,39,1,1,4,1,624.0,118.54,73970.21,0.0,624.0,COMP-000100,Compra inicial de JORDAN 3 RETRO OG WHITE CEMENT
101,20231102,39,1,1,1,1,1.0,118.54,118.54,1993.0,1992.0,ORDEN-178698,Venta orden #178698
102,20230826,44,1,1,7,1,958.0,75.67,72488.03,0.0,958.0,COMP-000102,Compra inicial de CONVERSE PRO LEATHER OX
103,20230904,44,1,1,7,1,1567.0,75.67,118568.62,0.0,1567.0,COMP-000103,Compra inicial de CONVERSE PRO LEATHER OX
104,20230808,44,1,1,2,1,583.0,75.67,44113.28,0.0,583.0,COMP-000104,Compra inicial de CONVERSE PRO LEATHER OX
105,20231102,44,1,1,1,1,1.0,75.67,75.67,1567.0,1566.0,ORDEN-178698,Venta orden #178698
106,20231102,45,1,1,1,1,4.0,113.18,452.71,1923.0,1919.0,ORDEN-178698,Venta orden #178698
107,20230923,50,1,1,8,1,1561.0,80.19,125176.59,0.0,1561.0,COMP-000107,Compra inicial de REEBOK INSTAPUMP FURY OG
108,20230820,50,1,1,6,1,729.0,80.19,58458.51,0.0,729.0,COMP-000108,Compra inicial de REEBOK INSTAPUMP FURY OG
109,20230920,50,1,1,8,1,1065.0,80.19,85402.35,0.0,1065.0,COMP-000109,Compra inicial de REEBOK INSTAPUMP FURY OG
110,20231102,50,1,1,1,1,5.0,80.19,400.95,1561.0,1556.0,ORDEN-178698,Venta orden #178698
111,20230922,55,1,1,6,1,548.0,95.77,52479.77,0.0,548.0,COMP-000111,Compra inicial de PUMA SPEED CAT OG SPARCO
112,20230817,55,1,1,7,1,513.0,95.77,49127.96,0.0,513.0,COMP-000112,Compra inicial de PUMA SPEED CAT OG SPARCO
113,20230911,55,1,1,5,1,1866.0,95.77,178699.36,0.0,1866.0,COMP-000113,Compra inicial de PUMA SPEED CAT OG SPARCO
114,20231102,55,1,1,1,1,4.0,95.77,383.06,548.0,544.0,ORDEN-120749,Venta orden #120749
115,20231102,56,1,1,1,1,4.0,97.45,389.78,1990.0,1986.0,ORDEN-120749,Venta orden #120749
116,20231102,14,1,1,1,1,2.0,100.75,201.5,1815.0,1813.0,ORDEN-51617,Venta orden #51617
117,20231102,18,1,1,1,1,1.0,110.52,110.52,1479.0,1478.0,ORDEN-51617,Venta orden #51617
118,20231102,45,1,1,1,1,1.0,109.86,109.86,1223.0,1222.0,ORDEN-51617,Venta orden #51617
119,20231102,3,1,1,1,1,4.0,80.43,321.72,1443.0,1439.0,ORDEN-33519,Venta orden #33519
120,20230928,9,1,1,3,1,725.0,104.68,75890.1,0.0,725.0,COMP-000120,Compra inicial de TIMBERLAND 6-INCH PREMIUM BOOT CAMEL
121,20230831,9,1,1,6,1,1692.0,104.68,177111.79,0.0,1692.0,COMP-000121,Compra inicial de TIMBERLAND 6-INCH PREMIUM BOOT CAMEL
122,20230907,9,1,1,6,1,1621.0,104.68,169679.8,0.0,1621.0,COMP-000122,Compra inicial de TIMBERLAND 6-INCH PREMIUM BOOT CAMEL
123,20231102,9,1,1,1,1,2.0,104.68,209.35,1692.0,1690.0,ORDEN-33519,Venta orden #33519
124,20230927,33,1,1,4,1,1120.0,70.19,78610.56,0.0,1120.0,COMP-000124,Compra inicial de VANS SLIP-ON PRO CHECKER
125,20230906,33,1,1,2,1,1148.0,70.19,80575.82,0.0,1148.0,COMP-000125,Compra inicial de VANS SLIP-ON PRO CHECKER
126,20230901,33,1,1,1,1,930.0,70.19,65274.84,0.0,930.0,COMP-000126,Compra inicial de VANS SLIP-ON PRO CHECKER
127,20231102,33,1,1,1,1,3.0,70.19,210.56,1120.0,1117.0,ORDEN-33519,Venta orden #33519
128,20231102,55,1,1,1,1,4.0,74.53,298.13,1866.0,1862.0,ORDEN-33519,Venta orden #33519
129,20230814,57,1,1,3,1,559.0,71.73,40097.07,0.0,559.0,COMP-000129,Compra inicial de ADIDAS X SPEEDFLOW.1 FG
130,20230902,57,1,1,1,1,585.0,71.73,41962.05,0.0,585.0,COMP-000130,Compra inicial de ADIDAS X SPEEDFLOW.1 FG
131,20230918,57,1,1,1,1,1161.0,71.73,83278.53,0.0,1161.0,COMP-000131,Compra inicial de ADIDAS X SPEEDFLOW.1 FG
132,20231102,57,1,1,1,1,3.0,71.73,215.19,1161.0,1158.0,ORDEN-33519,Venta orden #33519
133,20231002,31,1,1,3,1,504.0,66.31,33421.25,0.0,504.0,COMP-000133,Compra inicial de NIKE CORTEZ BASIC BLANCO
134,20230822,31,1,1,1,1,1749.0,66.31,115979.69,0.0,1749.0,COMP-000134,Compra inicial de NIKE CORTEZ BASIC BLANCO
135,20230904,31,1,1,2,1,1477.0,66.31,97942.82,0.0,1477.0,COMP-000135,Compra inicial de NIKE CORTEZ BASIC BLANCO
136,20231102,31,1,1,1,1,1.0,66.31,66.31,1477.0,1476.0,ORDEN-64361,Venta orden #64361
137,20231102,44,1,1,1,1,1.0,93.66,93.66,958.0,957.0,ORDEN-64361,Venta orden #64361
138,20230904,1,1,1,8,1,1552.0,105.04,163025.18,0.0,1552.0,COMP-000138,Compra inicial de NIKE AIR MAX 270 NEGRO
139,20230806,1,1,1,6,1,1779.0,105.04,186869.72,0.0,1779.0,COMP-000139,Compra inicial de NIKE AIR MAX 270 NEGRO
140,20230903,1,1,1,5,1,856.0,105.04,89915.95,0.0,856.0,COMP-000140,Compra inicial de NIKE AIR MAX 270 NEGRO
141,20231102,1,1,1,1,1,4.0,105.04,420.17,856.0,852.0,ORDEN-139841,Venta orden #139841
142,20231102,24,1,1,1,1,3.0,86.8,260.39,1974.0,1971.0,ORDEN-139841,Venta orden #139841
143,20231102,40,1,1,1,1,1.0,77.65,77.65,1840.0,1839.0,ORDEN-139841,Venta orden #139841
144,20231102,7,1,1,1,1,5.0,119.47,597.36,1575.0,1570.0,ORDEN-3682,Venta orden #3682
145,20231102,22,1,1,1,1,1.0,106.69,106.69,1510.0,1509.0,ORDEN-3682,Venta orden #3682
146,20231102,32,1,1,1,1,1.0,106.02,106.02,783.0,782.0,ORDEN-3682,Venta orden #3682
147,20230812,42,1,1,1,1,1622.0,95.05,154174.34,0.0,1622.0,COMP-000147,Compra inicial de ADIDAS YEEZY BOOST 350 V2
148,20230918,42,1,1,8,1,1371.0,95.05,130316.29,0.0,1371.0,COMP-000148,Compra inicial de ADIDAS YEEZY BOOST 350 V2
149,20230814,42,1,1,4,1,1085.0,95.05,103131.42,0.0,1085.0,COMP-000149,Compra inicial de ADIDAS YEEZY BOOST 350 V2
150,20231102,42,1,1,1,1,1.0,95.05,95.05,1371.0,1370.0,ORDEN-3682,Venta orden #3682
151,20230819,51,1,1,1,1,1454.0,103.28,150174.94,0.0,1454.0,COMP-000151,Compra inicial de NIKE AIR MAX 97 SILVER BULLET
152,20230905,51,1,1,8,1,1279.0,103.28,132100.24,0.0,1279.0,COMP-000152,Compra inicial de NIKE AIR MAX 97 SILVER BULLET
153,20230812,51,1,1,7,1,1852.0,103.28,191281.97,0.0,1852.0,COMP-000153,Compra inicial de NIKE AIR MAX 97 SILVER BULLET
154,20231102,51,1,1,1,1,3.0,103.28,309.85,1454.0,1451.0,ORDEN-3682,Venta orden #3682
155,20230921,15,1,1,1,1,731.0,69.95,51131.99,0.0,731.0,COMP-000155,Compra inicial de PUMA CALI SPORT MIX ROSA
156,20230827,15,1,1,5,1,1304.0,69.95,91212.19,0.0,1304.0,COMP-000156,Compra inicial de PUMA CALI SPORT MIX ROSA
157,20231001,15,1,1,3,1,1819.0,69.95,127235.41,0.0,1819.0,COMP-000157,Compra inicial de PUMA CALI SPORT MIX ROSA
158,20231102,15,1,1,1,1,2.0,69.95,139.9,1304.0,1302.0,ORDEN-138670,Venta orden #138670
159,20231102,16,1,1,1,1,5.0,75.91,379.53,1062.0,1057.0,ORDEN-138670,Venta orden #138670
160,20231102,33,1,1,1,1,1.0,90.92,90.92,930.0,929.0,ORDEN-138670,Venta orden #138670
161,20231102,51,1,1,1,1,1.0,85.56,85.56,1279.0,1278.0,ORDEN-138670,Venta orden #138670
162,20231102,3,1,1,1,1,3.0,70.55,211.64,1439.0,1436.0,ORDEN-82590,Venta orden #82590
163,20231102,21,1,1,1,1,4.0,78.38,313.51,535.0,531.0,ORDEN-82590,Venta orden #82590
164,20230927,23,1,1,7,1,1884.0,118.61,223457.47,0.0,1884.0,COMP-000164,Compra inicial de VANS ERA CLASSIC NEGRO
165,20230807,23,1,1,8,1,1275.0,118.61,151225.2,0.0,1275.0,COMP-000165,Compra inicial de VANS ERA CLASSIC NEGRO
166,20230811,23,1,1,1,1,1013.0,118.61,120149.9,0.0,1013.0,COMP-000166,Compra inicial de VANS ERA CLASSIC NEGRO
167,20231102,23,1,1,1,1,1.0,118.61,118.61,1884.0,1883.0,ORDEN-82590,Venta orden #82590
168,20230811,29,1,1,3,1,1578.0,82.45,130099.79,0.0,1578.0,COMP-000168,Compra inicial de JORDAN 11 RETRO LOW BRED
169,20230914,29,1,1,4,1,1574.0,82.45,129770.0,0.0,1574.0,COMP-000169,Compra inicial de JORDAN 11 RETRO LOW BRED
170,20230809,29,1,1,7,1,744.0,82.45,61339.82,0.0,744.0,COMP-000170,Compra inicial de JORDAN 11 RETRO LOW BRED
171,20231102,29,1,1,1,1,3.0,82.45,247.34,1578.0,1575.0,ORDEN-82590,Venta orden #82590
172,20231102,40,1,1,1,1,4.0,97.4,389.59,944.0,940.0,ORDEN-82590,Venta orden #82590
173,20230917,20,1,1,5,1,1594.0,98.41,156859.16,0.0,1594.0,COMP-000173,Compra inicial de REEBOK NANO X1 NEGRO
174,20230906,20,1,1,2,1,1438.0,98.41,141507.83,0.0,1438.0,COMP-000174,Compra inicial de REEBOK NANO X1 NEGRO
175,20230907,20,1,1,5,1,1768.0,98.41,173981.81,0.0,1768.0,COMP-000175,Compra inicial de REEBOK NANO X1 NEGRO
176,20231102,20,1,1,1,1,1.0,98.41,98.41,1768.0,1767.0,ORDEN-121013,Venta orden #121013
177,20230928,35,1,1,5,1,1057.0,104.97,110953.29,0.0,1057.0,COMP-000177,Compra inicial de PUMA FUTURE Z 1.1 NEYMAR
178,20230901,35,1,1,8,1,1983.0,104.97,208155.51,0.0,1983.0,COMP-000178,Compra inicial de PUMA FUTURE Z 1.1 NEYMAR
179,20230911,35,1,1,3,1,1247.0,104.97,130897.59,0.0,1247.0,COMP-000179,Compra inicial de PUMA FUTURE Z 1.1 NEYMAR
180,20231102,35,1,1,1,1,4.0,104.97,419.88,1983.0,1979.0,ORDEN-121013,Venta orden #121013
181,20230921,25,1,1,7,1,1004.0,94.29,94667.16,0.0,1004.0,COMP-000181,Compra inicial de PUMA SUEDE CLASSIC XXI ROJO
182,20230928,25,1,1,8,1,1828.0,94.29,172362.12,0.0,1828.0,COMP-000182,Compra inicial de PUMA SUEDE CLASSIC XXI ROJO
183,20230924,25,1,1,1,1,557.0,94.29,52519.53,0.0,557.0,COMP-000183,Compra inicial de PUMA SUEDE CLASSIC XXI ROJO
184,20231102,25,1,1,1,1,3.0,94.29,282.87,1004.0,1001.0,ORDEN-12193,Venta orden #12193
185,20231102,50,1,1,1,1,1.0,95.31,95.31,1065.0,1064.0,ORDEN-12193,Venta orden #12193
186,20231102,14,1,1,1,1,4.0,102.67,410.66,1725.0,1721.0,ORDEN-64560,Venta orden #64560
187,20231102,20,1,1,1,1,4.0,69.16,276.65,1438.0,1434.0,ORDEN-64560,Venta orden #64560
188,20231102,31,1,1,1,1,4.0,105.6,422.4,1476.0,1472.0,ORDEN-64560,Venta orden #64560
189,20231102,59,1,1,1,1,4.0,81.37,325.46,518.0,514.0,ORDEN-64560,Venta orden #64560
190,20231102,25,1,1,1,1,2.0,71.86,143.72,557.0,555.0,ORDEN-132018,Venta orden #132018
191,20230828,26,1,1,5,1,806.0,68.26,55014.34,0.0,806.0,COMP-000191,Compra inicial de NIKE DUNK LOW RETRO PANDA
192,20231003,26,1,1,4,1,738.0,68.26,50372.93,0.0,738.0,COMP-000192,Compra inicial de NIKE DUNK LOW RETRO PANDA
193,20230820,26,1,1,5,1,1065.0,68.26,72692.64,0.0,1065.0,COMP-000193,Compra inicial de NIKE DUNK LOW RETRO PANDA
194,20231102,26,1,1,1,1,1.0,68.26,68.26,738.0,737.0,ORDEN-132018,Venta orden #132018
195,20231102,40,1,1,1,1,1.0,69.26,69.26,1839.0,1838.0,ORDEN-132018,Venta orden #132018
196,20231001,46,1,1,4,1,1567.0,112.79,176738.8,0.0,1567.0,COMP-000196,Compra inicial de NIKE AIR MAX 90 INFRARED
197,20231003,46,1,1,7,1,1580.0,112.79,178205.04,0.0,1580.0,COMP-000197,Compra inicial de NIKE AIR MAX 90 INFRARED
198,20230820,46,1,1,5,1,1078.0,112.79,121585.46,0.0,1078.0,COMP-000198,Compra inicial de NIKE AIR MAX 90 INFRARED
199,20231102,46,1,1,1,1,1.0,112.79,112.79,1580.0,1579.0,ORDEN-132018,Venta orden #132018
200,20230910,48,1,1,4,1,1791.0,69.7,124836.28,0.0,1791.0,COMP-000200,Compra inicial de NEW BALANCE 327 CASABLANCA
201,20230911,48,1,1,1,1,1730.0,69.7,120584.46,0.0,1730.0,COMP-000201,Compra inicial de NEW BALANCE 327 CASABLANCA
202,20230919,48,1,1,2,1,699.0,69.7,48721.7,0.0,699.0,COMP-000202,Compra inicial de NEW BALANCE 327 CASABLANCA
203,20231102,48,1,1,1,1,4.0,69.7,278.81,1791.0,1787.0,ORDEN-132018,Venta orden #132018
204,20231102,3,1,1,1,1,1.0,70.27,70.27,727.0,726.0,ORDEN-54376,Venta orden #54376
205,20231102,8,1,1,1,1,4.0,90.37,361.46,1075.0,1071.0,ORDEN-54376,Venta orden #54376
206,20231102,39,1,1,1,1,5.0,79.01,395.04,1162.0,1157.0,ORDEN-54376,Venta orden #54376
207,20231102,40,1,1,1,1,4.0,100.02,400.08,940.0,936.0,ORDEN-54376,Venta orden #54376
208,20231102,51,1,1,1,1,5.0,86.88,434.4,1278.0,1273.0,ORDEN-54376,Venta orden #54376
