venta_id,fecha_id,cliente_id,producto_id,orden_id,usuario_id,almacen_id,impuesto_id,cantidad,precio_unitario,subtotal,descuento,impuesto,envio,total,costo_unitario,costo_total,margen,created_at
25,20240630,1,11,19,1,1,1,1.0,31.3,31.3,0.0,4.07,0.0,35.37,18.78,18.78,12.52,2026-01-06 04:57:43.082130
26,20250330,1,21,9395,1,1,1,1.0,27.58,27.58,0.0,3.59,0.0,31.17,16.55,16.55,11.03,2026-01-06 04:57:43.082130
27,20250330,1,37,9395,1,1,1,1.0,35.74,35.74,0.0,4.65,0.0,40.39,21.45,21.45,14.3,2026-01-06 04:57:43.082130
28,20250330,1,44,9395,1,1,1,1.0,36.56,36.56,0.0,4.75,0.0,41.32,21.94,21.94,14.62,2026-01-06 04:57:43.082130
29,20250330,1,32,27645,1,1,1,1.0,36.67,36.67,0.0,4.77,0.0,41.44,22.0,22.0,14.67,2026-01-06 04:57:43.082130
30,20250331,1,20,482,1,1,1,1.0,28.71,28.71,0.0,3.73,0.0,32.44,17.23,17.23,11.48,2026-01-06 04:57:43.082130
31,20250517,1,14,20183,1,1,1,1.0,39.77,39.77,0.0,5.17,0.0,44.94,23.86,23.86,15.91,2026-01-06 04:57:43.082130
32,20250517,1,56,108,1,1,1,1.0,46.32,46.32,0.0,6.02,0.0,52.34,27.79,27.79,18.53,2026-01-06 04:57:43.082130
33,20250829,1,28,3063,1,1,1,1.0,21.8,21.8,0.0,2.83,0.0,24.63,13.08,13.08,8.72,2026-01-06 04:57:43.082130
34,20250829,1,24,1584,1,1,1,1.0,42.7,42.7,0.0,5.55,0.0,48.25,25.62,25.62,17.08,2026-01-06 04:57:43.082130
35,20251004,1,18,3005,1,1,1,1.0,38.57,38.57,0.0,5.01,0.0,43.59,23.14,23.14,15.43,2026-01-06 04:57:43.082130
36,20230101,1,59,28180,1,1,1,1.0,39.48,39.48,0.0,5.13,0.0,44.61,23.69,23.69,15.79,2026-01-06 04:57:43.082130
37,20230103,1,46,381,1,1,1,1.0,45.45,45.45,0.0,5.91,0.0,51.36,27.27,27.27,18.18,2026-01-06 04:57:43.082130
38,20230103,1,30,381,1,1,1,1.0,35.14,35.14,0.0,4.57,0.0,39.71,21.08,21.08,14.06,2026-01-06 04:57:43.082130
39,20230103,1,5,381,1,1,1,1.0,38.89,38.89,0.0,5.06,0.0,43.94,23.33,23.33,15.55,2026-01-06 04:57:43.082130
40,20230516,1,49,22,1,1,1,1.0,27.41,27.41,0.0,3.56,0.0,30.97,16.45,16.45,10.96,2026-01-06 04:57:43.082130
41,20230516,1,57,22,1,1,1,1.0,27.63,27.63,0.0,3.59,0.0,31.22,16.58,16.58,11.05,2026-01-06 04:57:43.082130
42,20230908,1,28,1292,1,1,1,2.0,20.54,41.08,0.0,5.34,0.0,46.42,12.32,24.65,16.43,2026-01-06 04:57:43.082130
43,20231013,1,30,4,1,1,1,1.0,35.54,35.54,0.0,4.62,0.0,40.16,21.32,21.32,14.22,2026-01-06 04:57:43.082130
44,20231102,1,53,16,1,1,1,1.0,48.18,48.18,0.0,6.26,0.0,54.44,28.91,28.91,19.27,2026-01-06 04:57:43.082130
45,20231102,1,25,16,1,1,1,1.0,49.61,49.61,0.0,6.45,0.0,56.06,29.76,29.76,19.84,2026-01-06 04:57:43.082130
46,20231102,1,7,1474,1,1,1,2.0,30.61,61.22,0.0,7.96,0.0,69.18,18.37,36.73,24.49,2026-01-06 04:57:43.082130
47,20231230,1,11,1176,1,1,1,1.0,31.48,31.48,0.0,4.09,0.0,35.57,18.89,18.89,12.59,2026-01-06 04:57:43.082130
48,20240630,1,64,19,1,1,1,1.0,27.13,27.13,0.0,3.53,0.0,30.65,16.28,16.28,10.85,2026-01-06 04:57:43.082130
49,20240630,1,59,19,1,1,1,1.0,39.84,39.84,0.0,5.18,0.0,45.02,23.9,23.9,15.93,2026-01-06 04:57:43.082130
50,20240708,1,63,1475,1,1,1,2.0,27.7,55.4,0.0,7.2,0.0,62.61,16.62,33.24,22.16,2026-01-06 04:57:43.082130
51,20250519,1,46,16222,1,1,1,1.0,46.49,46.49,0.0,6.04,0.0,52.53,27.89,27.89,18.6,2026-01-06 04:57:43.082130
52,20230103,1,15,381,1,1,1,1.0,27.08,27.08,0.0,3.52,0.0,30.6,16.25,16.25,10.83,2026-01-06 04:57:43.082130
53,20230103,1,12,26335,1,1,1,1.0,23.41,23.41,0.0,3.04,0.0,26.45,14.04,14.04,9.36,2026-01-06 04:57:43.082130
54,20240718,1,13,2962,1,1,1,1.0,29.69,29.69,0.0,3.86,0.0,33.55,17.81,17.81,11.88,2026-01-06 04:57:43.082130
55,20250331,1,2,21366,1,1,1,1.0,33.65,33.65,0.0,4.37,0.0,38.02,20.19,20.19,13.46,2026-01-06 04:57:43.082130
56,20250519,1,3,16222,1,1,1,1.0,36.67,36.67,0.0,4.77,0.0,41.44,22.0,22.0,14.67,2026-01-06 04:57:43.082130
57,20230814,1,47,4912,1,1,1,1.0,34.55,34.55,0.0,4.49,0.0,39.04,20.73,20.73,13.82,2026-01-06 04:57:43.082130
58,20250702,1,12,7055,1,1,1,2.0,21.96,43.93,0.0,5.71,0.0,49.64,13.18,26.36,17.57,2026-01-06 04:57:43.082130
59,20250702,1,44,17735,1,1,1,1.0,37.14,37.14,0.0,4.83,0.0,41.97,22.28,22.28,14.86,2026-01-06 04:57:43.082130
60,20250702,1,44,15390,1,1,1,1.0,38.03,38.03,0.0,4.94,0.0,42.98,22.82,22.82,15.21,2026-01-06 04:57:43.082130
61,20250702,1,8,13757,1,1,1,1.0,29.02,29.02,0.0,3.77,0.0,32.79,17.41,17.41,11.61,2026-01-06 04:57:43.082130
62,20241127,1,49,30,1,1,1,1.0,29.05,29.05,0.0,3.78,0.0,32.83,17.43,17.43,11.62,2026-01-06 04:57:43.082130
63,20250702,1,29,1469,1,1,1,1.0,32.29,32.29,0.0,4.2,0.0,36.48,19.37,19.37,12.91,2026-01-06 04:57:43.082130
64,20250702,1,34,1469,1,1,1,1.0,36.77,36.77,0.0,4.78,0.0,41.55,22.06,22.06,14.71,2026-01-06 04:57:43.082130
65,20230911,1,30,4016,1,1,1,1.0,32.28,32.28,0.0,4.2,0.0,36.48,19.37,19.37,12.91,2026-01-06 04:57:43.082130
66,20250702,1,19,1469,1,1,1,1.0,41.08,41.08,0.0,5.34,0.0,46.42,24.65,24.65,16.43,2026-01-06 04:57:43.082130
67,20250702,1,38,17740,1,1,1,1.0,35.0,35.0,0.0,4.55,0.0,39.54,21.0,21.0,14.0,2026-01-06 04:57:43.082130
68,20250702,1,4,17740,1,1,1,1.0,39.62,39.62,0.0,5.15,0.0,44.77,23.77,23.77,15.85,2026-01-06 04:57:43.082130
69,20250703,1,1,22414,1,1,1,1.0,20.82,20.82,0.0,2.71,0.0,23.53,12.49,12.49,8.33,2026-01-06 04:57:43.082130
70,20230105,1,47,647,1,1,1,1.0,34.65,34.65,0.0,4.5,0.0,39.15,20.79,20.79,13.86,2026-01-06 04:57:43.082130
71,20250703,1,42,16828,1,1,1,1.0,22.62,22.62,0.0,2.94,0.0,25.56,13.57,13.57,9.05,2026-01-06 04:57:43.082130
72,20230524,1,19,3981,1,1,1,1.0,36.99,36.99,0.0,4.81,0.0,41.8,22.19,22.19,14.79,2026-01-06 04:57:43.082130
73,20231124,1,21,45,1,1,1,1.0,25.05,25.05,0.0,3.26,0.0,28.31,15.03,15.03,10.02,2026-01-06 04:57:43.082130
74,20231124,1,54,45,1,1,1,1.0,35.12,35.12,0.0,4.57,0.0,39.68,21.07,21.07,14.05,2026-01-06 04:57:43.082130
75,20250218,1,60,38,1,1,1,1.0,51.63,51.63,0.0,6.71,0.0,58.34,30.98,30.98,20.65,2026-01-06 04:57:43.082130
76,20230619,1,2,5145,1,1,1,1.0,36.75,36.75,0.0,4.78,0.0,41.53,22.05,22.05,14.7,2026-01-06 04:57:43.082130
77,20240217,1,46,5125,1,1,1,1.0,45.14,45.14,0.0,5.87,0.0,51.01,27.08,27.08,18.06,2026-01-06 04:57:43.082130
78,20240221,1,28,40008,1,1,1,1.0,20.21,20.21,0.0,2.63,0.0,22.83,12.12,12.12,8.08,2026-01-06 04:57:43.082130
79,20240816,1,6,4638,1,1,1,1.0,39.72,39.72,0.0,5.16,0.0,44.88,23.83,23.83,15.89,2026-01-06 04:57:43.082130
80,20240221,1,8,4556,1,1,1,1.0,28.56,28.56,0.0,3.71,0.0,32.28,17.14,17.14,11.43,2026-01-06 04:57:43.082130
81,20240323,1,43,4545,1,1,1,2.0,38.47,76.94,0.0,10.0,0.0,86.94,23.08,46.17,30.78,2026-01-06 04:57:43.082130
82,20240827,1,31,3329,1,1,1,1.0,22.18,22.18,0.0,2.88,0.0,25.06,13.31,13.31,8.87,2026-01-06 04:57:43.082130
83,20240611,1,4,4875,1,1,1,1.0,40.68,40.68,0.0,5.29,0.0,45.97,24.41,24.41,16.27,2026-01-06 04:57:43.082130
84,20240830,1,43,4900,1,1,1,1.0,37.8,37.8,0.0,4.91,0.0,42.72,22.68,22.68,15.12,2026-01-06 04:57:43.082130
85,20240612,1,35,4300,1,1,1,1.0,49.93,49.93,0.0,6.49,0.0,56.43,29.96,29.96,19.97,2026-01-06 04:57:43.082130
86,20230719,1,23,3626,1,1,1,1.0,41.34,41.34,0.0,5.37,0.0,46.72,24.81,24.81,16.54,2026-01-06 04:57:43.082130
87,20240710,1,31,3601,1,1,1,1.0,24.04,24.04,0.0,3.13,0.0,27.17,14.42,14.42,9.62,2026-01-06 04:57:43.082130
88,20230912,1,48,31,1,1,1,1.0,32.63,32.63,0.0,4.24,0.0,36.87,19.58,19.58,13.05,2026-01-06 04:57:43.082130
89,20250218,1,64,38,1,1,1,1.0,25.97,25.97,0.0,3.38,0.0,29.35,15.58,15.58,10.39,2026-01-06 04:57:43.082130
90,20240719,1,39,4308,1,1,1,1.0,32.69,32.69,0.0,4.25,0.0,36.94,19.61,19.61,13.08,2026-01-06 04:57:43.082130
91,20241101,1,58,4883,1,1,1,1.0,36.38,36.38,0.0,4.73,0.0,41.11,21.83,21.83,14.55,2026-01-06 04:57:43.082130
92,20230912,1,44,31,1,1,1,1.0,37.09,37.09,0.0,4.82,0.0,41.91,22.25,22.25,14.84,2026-01-06 04:57:43.082130
93,20241127,1,13,30,1,1,1,1.0,29.34,29.34,0.0,3.81,0.0,33.16,17.61,17.61,11.74,2026-01-06 04:57:43.082130
94,20241127,1,21,5103,1,1,1,1.0,27.91,27.91,0.0,3.63,0.0,31.53,16.74,16.74,11.16,2026-01-06 04:57:43.082130
95,20241130,1,27,36,1,1,1,1.0,34.27,34.27,0.0,4.46,0.0,38.73,20.56,20.56,13.71,2026-01-06 04:57:43.082130
96,20230101,1,8,27763,1,1,1,1.0,33.52,33.52,0.0,4.36,0.0,37.88,20.11,20.11,13.41,2026-01-06 04:57:43.082130
97,20230103,1,22,26335,1,1,1,1.0,46.05,46.05,0.0,5.99,0.0,52.03,27.63,27.63,18.42,2026-01-06 04:57:43.082130
98,20250821,1,14,3954,1,1,1,1.0,42.78,42.78,0.0,5.56,0.0,48.34,25.67,25.67,17.11,2026-01-06 04:57:43.082130
99,20231124,1,50,45,1,1,1,1.0,45.8,45.8,0.0,5.95,0.0,51.75,27.48,27.48,18.32,2026-01-06 04:57:43.082130
100,20231201,1,26,4936,1,1,1,1.0,42.0,42.0,0.0,5.46,0.0,47.46,25.2,25.2,16.8,2026-01-06 04:57:43.082130
101,20241213,1,23,3939,1,1,1,1.0,42.09,42.09,0.0,5.47,0.0,47.56,25.25,25.25,16.83,2026-01-06 04:57:43.082130
102,20250223,1,49,3348,1,1,1,1.0,29.9,29.9,0.0,3.89,0.0,33.79,17.94,17.94,11.96,2026-01-06 04:57:43.082130
103,20250223,1,25,3654,1,1,1,1.0,46.2,46.2,0.0,6.01,0.0,52.21,27.72,27.72,18.48,2026-01-06 04:57:43.082130
104,20250309,1,41,33,1,1,1,1.0,37.45,37.45,0.0,4.87,0.0,42.32,22.47,22.47,14.98,2026-01-06 04:57:43.082130
105,20250309,1,58,33,1,1,1,1.0,36.05,36.05,0.0,4.69,0.0,40.74,21.63,21.63,14.42,2026-01-06 04:57:43.082130
106,20250331,1,6,2394,1,1,1,1.0,36.49,36.49,0.0,4.74,0.0,41.23,21.89,21.89,14.6,2026-01-06 04:57:43.082130
107,20250509,1,12,37,1,1,1,1.0,21.97,21.97,0.0,2.86,0.0,24.82,13.18,13.18,8.79,2026-01-06 04:57:43.082130
108,20250509,1,37,37,1,1,1,1.0,36.33,36.33,0.0,4.72,0.0,41.05,21.8,21.8,14.53,2026-01-06 04:57:43.082130
109,20231202,1,48,3716,1,1,1,1.0,35.71,35.71,0.0,4.64,0.0,40.35,21.43,21.43,14.28,2026-01-06 04:57:43.082130
110,20230105,1,52,3196,1,1,1,1.0,34.83,34.83,0.0,4.53,0.0,39.36,20.9,20.9,13.93,2026-01-06 04:57:43.082130
111,20230105,1,45,3196,1,1,1,1.0,22.29,22.29,0.0,2.9,0.0,25.18,13.37,13.37,8.91,2026-01-06 04:57:43.082130
112,20230106,1,12,10227,1,1,1,1.0,20.63,20.63,0.0,2.68,0.0,23.31,12.38,12.38,8.25,2026-01-06 04:57:43.082130
113,20230107,1,28,40551,1,1,1,1.0,20.86,20.86,0.0,2.71,0.0,23.58,12.52,12.52,8.35,2026-01-06 04:57:43.082130
114,20231222,1,59,3315,1,1,1,2.0,40.48,80.96,0.0,10.52,0.0,91.48,24.29,48.57,32.38,2026-01-06 04:57:43.082130
115,20241228,1,53,4265,1,1,1,1.0,43.97,43.97,0.0,5.72,0.0,49.68,26.38,26.38,17.59,2026-01-06 04:57:43.082130
116,20241229,1,37,4281,1,1,1,1.0,35.14,35.14,0.0,4.57,0.0,39.71,21.09,21.09,14.06,2026-01-06 04:57:43.082130
117,20250401,1,52,21342,1,1,1,1.0,40.31,40.31,0.0,5.24,0.0,45.55,24.18,24.18,16.12,2026-01-06 04:57:43.082130
118,20250401,1,31,2122,1,1,1,1.0,21.61,21.61,0.0,2.81,0.0,24.42,12.96,12.96,8.64,2026-01-06 04:57:43.082130
119,20250520,1,54,47,1,1,1,1.0,36.53,36.53,0.0,4.75,0.0,41.27,21.92,21.92,14.61,2026-01-06 04:57:43.082130
120,20241130,1,23,53,1,1,1,1.0,40.31,40.31,0.0,5.24,0.0,45.55,24.19,24.19,16.13,2026-01-06 04:57:43.082130
121,20231204,1,5,20009,1,1,1,1.0,36.66,36.66,0.0,4.77,0.0,41.42,21.99,21.99,14.66,2026-01-06 04:57:43.082130
122,20240208,1,36,5471,1,1,1,1.0,16.03,16.03,0.0,2.08,0.0,18.12,9.62,9.62,6.41,2026-01-06 04:57:43.082130
123,20240206,1,42,61,1,1,1,1.0,24.01,24.01,0.0,3.12,0.0,27.13,14.41,14.41,9.6,2026-01-06 04:57:43.082130
124,20250520,1,52,47,1,1,1,1.0,38.7,38.7,0.0,5.03,0.0,43.73,23.22,23.22,15.48,2026-01-06 04:57:43.082130
125,20250703,1,14,16828,1,1,1,1.0,41.39,41.39,0.0,5.38,0.0,46.77,24.83,24.83,16.56,2026-01-06 04:57:43.082130
126,20250520,1,25,47,1,1,1,1.0,47.37,47.37,0.0,6.16,0.0,53.53,28.42,28.42,18.95,2026-01-06 04:57:43.082130
127,20230107,1,53,38166,1,1,1,1.0,48.14,48.14,0.0,6.26,0.0,54.4,28.88,28.88,19.26,2026-01-06 04:57:43.082130
128,20250703,1,36,14240,1,1,1,1.0,14.79,14.79,0.0,1.92,0.0,16.71,8.87,8.87,5.91,2026-01-06 04:57:43.082130
129,20250704,1,17,34036,1,1,1,1.0,37.37,37.37,0.0,4.86,0.0,42.23,22.42,22.42,14.95,2026-01-06 04:57:43.082130
130,20250704,1,45,10028,1,1,1,1.0,22.08,22.08,0.0,2.87,0.0,24.95,13.25,13.25,8.83,2026-01-06 04:57:43.082130
131,20250704,1,60,20370,1,1,1,1.0,50.77,50.77,0.0,6.6,0.0,57.37,30.46,30.46,20.31,2026-01-06 04:57:43.082130
132,20250704,1,45,445,1,1,1,2.0,24.09,48.18,0.0,6.26,0.0,54.45,14.45,28.91,19.27,2026-01-06 04:57:43.082130
133,20230107,1,55,385,1,1,1,1.0,36.31,36.31,0.0,4.72,0.0,41.03,21.78,21.78,14.52,2026-01-06 04:57:43.082130
134,20240206,1,14,61,1,1,1,2.0,43.51,87.02,0.0,11.31,0.0,98.33,26.11,52.21,34.81,2026-01-06 04:57:43.082130
135,20250704,1,26,445,1,1,1,1.0,41.26,41.26,0.0,5.36,0.0,46.63,24.76,24.76,16.5,2026-01-06 04:57:43.082130
136,20240404,1,50,5403,1,1,1,1.0,47.97,47.97,0.0,6.24,0.0,54.21,28.78,28.78,19.19,2026-01-06 04:57:43.082130
137,20240609,1,22,55,1,1,1,1.0,41.57,41.57,0.0,5.4,0.0,46.98,24.94,24.94,16.63,2026-01-06 04:57:43.082130
138,20240701,1,1,5176,1,1,1,1.0,20.36,20.36,0.0,2.65,0.0,23.01,12.22,12.22,8.14,2026-01-06 04:57:43.082130
139,20240820,1,13,6016,1,1,1,1.0,28.93,28.93,0.0,3.76,0.0,32.69,17.36,17.36,11.57,2026-01-06 04:57:43.082130
140,20251019,1,33,6386,1,1,1,1.0,24.59,24.59,0.0,3.2,0.0,27.78,14.75,14.75,9.83,2026-01-06 04:57:43.082130
141,20250531,1,54,18967,1,1,1,1.0,38.79,38.79,0.0,5.04,0.0,43.83,23.27,23.27,15.52,2026-01-06 04:57:43.082130
142,20230107,1,21,385,1,1,1,1.0,26.86,26.86,0.0,3.49,0.0,30.35,16.11,16.11,10.74,2026-01-06 04:57:43.082130
143,20230519,1,8,6461,1,1,1,1.0,30.71,30.71,0.0,3.99,0.0,34.71,18.43,18.43,12.28,2026-01-06 04:57:43.082130
144,20230618,1,6,5694,1,1,1,1.0,38.7,38.7,0.0,5.03,0.0,43.73,23.22,23.22,15.48,2026-01-06 04:57:43.082130
145,20240821,1,59,6700,1,1,1,1.0,39.67,39.67,0.0,5.16,0.0,44.82,23.8,23.8,15.87,2026-01-06 04:57:43.082130
146,20230101,1,49,14691,1,1,1,1.0,28.55,28.55,0.0,3.71,0.0,32.27,17.13,17.13,11.42,2026-01-06 04:57:43.082130
147,20250222,1,63,48,1,1,1,1.0,28.35,28.35,0.0,3.69,0.0,32.03,17.01,17.01,11.34,2026-01-06 04:57:43.082130
148,20241020,1,38,21549,1,1,1,1.0,36.1,36.1,0.0,4.69,0.0,40.79,21.66,21.66,14.44,2026-01-06 04:57:43.082130
149,20241107,1,10,6632,1,1,1,1.0,44.18,44.18,0.0,5.74,0.0,49.92,26.51,26.51,17.67,2026-01-06 04:57:43.082130
150,20241130,1,5,53,1,1,1,1.0,39.66,39.66,0.0,5.16,0.0,44.82,23.8,23.8,15.86,2026-01-06 04:57:43.082130
151,20241204,1,27,6028,1,1,1,1.0,34.01,34.01,0.0,4.42,0.0,38.43,20.41,20.41,13.6,2026-01-06 04:57:43.082130
152,20230728,1,24,5232,1,1,1,1.0,43.39,43.39,0.0,5.64,0.0,49.03,26.03,26.03,17.36,2026-01-06 04:57:43.082130
153,20250222,1,36,48,1,1,1,2.0,15.53,31.07,0.0,4.04,0.0,35.11,9.32,18.64,12.43,2026-01-06 04:57:43.082130
154,20241220,1,7,5212,1,1,1,2.0,27.79,55.58,0.0,7.23,0.0,62.8,16.67,33.35,22.23,2026-01-06 04:57:43.082130
155,20241229,1,27,6407,1,1,1,1.0,33.0,33.0,0.0,4.29,0.0,37.29,19.8,19.8,13.2,2026-01-06 04:57:43.082130
156,20231019,1,24,5387,1,1,1,1.0,44.98,44.98,0.0,5.85,0.0,50.82,26.99,26.99,17.99,2026-01-06 04:57:43.082130
157,20231204,1,50,4585,1,1,1,1.0,47.32,47.32,0.0,6.15,0.0,53.47,28.39,28.39,18.93,2026-01-06 04:57:43.082130
158,20231204,1,39,20009,1,1,1,2.0,29.9,59.8,0.0,7.77,0.0,67.57,17.94,35.88,23.92,2026-01-06 04:57:43.082130
159,20251030,1,61,5814,1,1,1,1.0,45.15,45.15,0.0,5.87,0.0,51.02,27.09,27.09,18.06,2026-01-06 04:57:43.082130
160,20250301,1,19,5715,1,1,1,1.0,38.87,38.87,0.0,5.05,0.0,43.92,23.32,23.32,15.55,2026-01-06 04:57:43.082130
161,20250309,1,24,6455,1,1,1,1.0,47.69,47.69,0.0,6.2,0.0,53.88,28.61,28.61,19.07,2026-01-06 04:57:43.082130
162,20250324,1,52,5818,1,1,1,1.0,36.92,36.92,0.0,4.8,0.0,41.72,22.15,22.15,14.77,2026-01-06 04:57:43.082130
163,20251122,1,58,6645,1,1,1,1.0,36.76,36.76,0.0,4.78,0.0,41.54,22.06,22.06,14.71,2026-01-06 04:57:43.082130
164,20230107,1,60,16470,1,1,1,1.0,52.58,52.58,0.0,6.84,0.0,59.42,31.55,31.55,21.03,2026-01-06 04:57:43.082130
165,20241130,1,29,53,1,1,1,1.0,30.42,30.42,0.0,3.95,0.0,34.37,18.25,18.25,12.17,2026-01-06 04:57:43.082130
166,20240208,1,4,6047,1,1,1,1.0,37.27,37.27,0.0,4.85,0.0,42.12,22.36,22.36,14.91,2026-01-06 04:57:43.082130
167,20240609,1,60,55,1,1,1,1.0,52.25,52.25,0.0,6.79,0.0,59.05,31.35,31.35,20.9,2026-01-06 04:57:43.082130
168,20240927,1,24,6648,1,1,1,1.0,47.4,47.4,0.0,6.16,0.0,53.56,28.44,28.44,18.96,2026-01-06 04:57:43.082130
169,20250327,1,19,6323,1,1,1,1.0,42.74,42.74,0.0,5.56,0.0,48.3,25.65,25.65,17.1,2026-01-06 04:57:43.082130
170,20250402,1,23,6689,1,1,1,2.0,39.88,79.77,0.0,10.37,0.0,90.14,23.93,47.86,31.91,2026-01-06 04:57:43.082130
171,20230107,1,64,13604,1,1,1,1.0,26.04,26.04,0.0,3.38,0.0,29.42,15.62,15.62,10.41,2026-01-06 04:57:43.082130
172,20230107,1,6,42083,1,1,1,1.0,40.94,40.94,0.0,5.32,0.0,46.26,24.56,24.56,16.37,2026-01-06 04:57:43.082130
173,20250403,1,61,5097,1,1,1,1.0,44.48,44.48,0.0,5.78,0.0,50.26,26.69,26.69,17.79,2026-01-06 04:57:43.082130
174,20250403,1,37,5216,1,1,1,2.0,35.49,70.99,0.0,9.23,0.0,80.22,21.3,42.59,28.4,2026-01-06 04:57:43.082130
175,20250404,1,62,18336,1,1,1,1.0,44.83,44.83,0.0,5.83,0.0,50.65,26.9,26.9,17.93,2026-01-06 04:57:43.082130
176,20250404,1,29,18336,1,1,1,1.0,30.21,30.21,0.0,3.93,0.0,34.14,18.13,18.13,12.08,2026-01-06 04:57:43.082130
177,20250404,1,25,10619,1,1,1,1.0,50.51,50.51,0.0,6.57,0.0,57.07,30.3,30.3,20.2,2026-01-06 04:57:43.082130
178,20240727,1,11,7586,1,1,1,2.0,31.99,63.97,0.0,8.32,0.0,72.29,19.19,38.38,25.59,2026-01-06 04:57:43.082130
179,20241202,1,62,7024,1,1,1,1.0,47.98,47.98,0.0,6.24,0.0,54.22,28.79,28.79,19.19,2026-01-06 04:57:43.082130
180,20241203,1,35,6917,1,1,1,1.0,54.1,54.1,0.0,7.03,0.0,61.13,32.46,32.46,21.64,2026-01-06 04:57:43.082130
181,20250704,1,64,445,1,1,1,2.0,28.77,57.54,0.0,7.48,0.0,65.02,17.26,34.52,23.02,2026-01-06 04:57:43.082130
182,20250704,1,9,11484,1,1,1,1.0,23.58,23.58,0.0,3.06,0.0,26.64,14.15,14.15,9.43,2026-01-06 04:57:43.082130
183,20241214,1,2,7971,1,1,1,1.0,37.23,37.23,0.0,4.84,0.0,42.07,22.34,22.34,14.89,2026-01-06 04:57:43.082130
184,20250704,1,44,11484,1,1,1,1.0,38.07,38.07,0.0,4.95,0.0,43.02,22.84,22.84,15.23,2026-01-06 04:57:43.082130
